Match ,Teams,Venue,Scoreline,Home Goals ,Away Goals,Home Possession,Away Possession,Home Shots,Away Shots,Home SoT,Away SoT,Home Passes,Away Passes,Home Pass Acc,Away Pass Acc,Home Fouls,Away Fouls,Home Yellows,Away Yellows,Home Reds,Away Reds,Home Offsides,Away Offsides,Home Corners,Away Corners,Home Saves,Away Saves,Goals Diff,Possession Diff,Shots Diff,SoT Diff,Passes Diff,Pass Acc Diff,Fouls Diff,Yellows Diff,Reds Diff,Offsides Diff,Corners Diff,Saves Diff,Stat score abs,Stat score pure,Normalized stat score abs,Normalized stat score pure,Balance
CUP_SF_L2,Real Madrid vs Real Sociedad,Estadio Santiago Bernabeu,4-4,4,4,59,41,26,11,10,5,709,496,89,86,6,23,1,4,0,0,3,2,10,6,1,6,0,18,15,5,213,3,-17,3,0,-1,4,-5,70.13,51.13,7.013,5.113,29.87
LEAGUE_LEAGUE_,Tottenham vs Man City,Tottenham Hotspur Stadium,0-1,0,1,55,45,12,12,5,6,487,387,93,91,12,13,3,0,0,0,0,1,8,3,5,5,-1,10,0,-1,100,2,-1,-3,0,1,5,0,23,10,2.3,1,77
UCL_GS_,Sporting vs Man City ,Estadio Jose Alvalade,4-1,4,1,30,70,8,19,6,6,167,572,82,95,6,8,3,3,0,0,1,4,1,11,5,2,3,-40,-11,0,-405,-13,-2,0,0,3,-10,3,85.55,-73.55,8.555,-7.355,14.45
UEL_PL_L1,Barcelona vs Man United,Camp Nou,2-2,2,2,58,42,18,17,8,5,381,220,78,73,10,12,2,4,0,0,0,1,8,5,3,6,0,16,1,3,161,5,-2,2,0,1,3,-3,35.61,33.61,3.561,3.361,64.39
UEL_PL_L2,Man United vs Barcelona ,Old Trafford,2-1,2,1,45,55,13,6,5,3,261,385,77,83,13,12,3,3,0,0,1,1,1,2,2,3,1,-10,7,2,-124,-6,1,0,0,0,-1,-1,33.74,-1.74,3.374,-0.174,66.26
LEAGUE_LEAGUE_,Celta Vigo vs Sevilla,Balaídos,3-2,3,2,49,51,8,19,4,10,470,460,86,83,11,16,0,2,1,0,1,3,3,6,8,1,1,-2,-11,-6,10,3,-5,2,-1,2,-3,7,44.6,-28.4,4.46,-2.84,55.4
LEAGUE_LEAGUE_,Real Betis vs Sevilla,Benito Villamarín,2-1,2,1,56,44,11,6,3,2,502,394,86,79,10,22,3,3,0,0,1,1,2,2,1,1,1,12,5,1,108,7,-12,0,0,0,0,0,36.58,24.58,3.658,2.458,63.42
LEAGUE_LEAGUE_,Crystal Palace vs Brighton,Selhurst Park,2-1,2,1,37,63,8,11,3,5,325,542,75,85,12,12,0,1,2,1,3,1,2,4,4,1,1,-26,-3,-2,-217,-10,0,1,-1,-2,-2,3,53.67,-49.67,5.367,-4.967,46.33
LEAGUE_LEAGUE_,Man City vs Chelsea,Etihad Stadium,3-1,3,1,57,43,15,10,6,4,567,425,86,82,6,8,3,2,0,0,5,2,2,3,3,3,2,14,5,2,142,4,-2,-1,0,-3,-1,0,38.42,27.42,3.842,2.742,61.58
LEAGUE_LEAGUE_,Leicester City vs Tottenham,King Power Stadium,1-1,1,1,29,71,7,15,3,7,275,671,76,89,11,12,1,1,0,0,2,1,2,13,6,2,0,-42,-8,-4,-396,-13,-1,0,0,-1,-11,4,85.96,-85.96,8.596,-8.596,14.04
LEAGUE_LEAGUE_,Barcelona vs Real Betis,Estadi Olímpic Lluís Companys,1-1,1,1,74,26,13,6,5,2,729,255,90,69,16,12,2,1,0,0,2,3,9,3,1,4,0,48,7,3,474,21,4,-1,0,1,6,-3,97.24,95.24,9.724,9.524,2.76
